lead_id,cts_id,title,url
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/209007069554422098c33fec2ee83d53/download
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4427720979e14248b66b77234abea9f2/download
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/66bed39fbf254f4893467402844f5d9a/download
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7cd5f5f343464ab2994859236f04d59f/download
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a6e8647f646846ff83b29acd7bb119cd/download
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f738c74a01f140658fe44f7c3285c6e2/download
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://api.sam.gov/prod/opportunities/v2/search?noticeid=f851a22a8f834cd7970bf0bb0f7176f3&limit=1
f851a22a8f834cd7970bf0bb0f7176f3,CTS-SAMGOV-20250831-F851A22A8F834CD7970BF0BB0F7176F3,8910--Dairy Products  Base Plus Four Year Option Periods,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f851a22a8f834cd7970bf0bb0f7176f3
f51fbbb2a217442b91a1a1834b3dcbc4,CTS-SAMGOV-20250831-F51FBBB2A217442B91A1A1834B3DCBC4,"66--METER,TIME TOTALIZI",https://api.sam.gov/prod/opportunities/v2/search?noticeid=f51fbbb2a217442b91a1a1834b3dcbc4&limit=1
f51fbbb2a217442b91a1a1834b3dcbc4,CTS-SAMGOV-20250831-F51FBBB2A217442B91A1A1834B3DCBC4,"66--METER,TIME TOTALIZI",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f51fbbb2a217442b91a1a1834b3dcbc4
